"","Period","WORLD","China","China, Hong Kong SAR","China, Macao SAR","China, Taiwan Province of China","Average in PRC"
"1","1950-1955",46.96,43.83,63.15,60.98,58.16,56.53
"2","1955-1960",49.37,44.47,65.88,63.58,62.92,59.21
"3","1960-1965",51.18,44.55,68.81,66.01,65.01,61.09
"4","1965-1970",55.43,55.47,70.85,68.12,66.91,65.34
"5","1970-1975",58.09,61.68,72.49,70.64,69.33,68.53
"6","1975-1980",60.27,65.51,73.76,73.02,70.78,70.77
"7","1980-1985",62.07,67.75,75.61,74.82,72.13,72.58
"8","1985-1990",63.71,68.92,76.96,76.54,73.36,73.94
"9","1990-1995",64.56,69.37,78.04,78.05,74.42,74.97
"10","1995-2000",65.63,70.58,79.98,79.75,75.22,76.38
"11","2000-2005",67.05,72.26,81.41,80.97,76.94,77.89
"12","2005-2010",68.92,73.68,82.43,82.07,78.2,79.1
"13","2010-2015",70.88,75.14,83.4,83.29,79.26,80.27
